Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
May 2019			
Supplier Name	Category Family	Invoice GL Date	Spend
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2019-05-25 00:00:00	43148.06
A D Modular Ltd	Plant and Tools	2019-05-25 00:00:00	60000
A D Modular Ltd	Plant and Tools	2019-05-25 00:00:00	50000
ABB Ltd	Electrification and Fixed Plant	2019-05-10 00:00:00	711887.48
ABC Electrification Ltd	Regulatory Charges	2019-05-25 00:00:00	122762.04
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-05-25 00:00:00	30324.71
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-05-25 00:00:00	68518.35
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-05-24 00:00:00	258460.36
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-05-25 00:00:00	37520.44
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-20 00:00:00	45575
AECOM Infrastructure & Environment UK Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2019-05-25 00:00:00	47263.49
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-13 00:00:00	69885
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-16 00:00:00	46008
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-14 00:00:00	29042.94
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-14 00:00:00	26253.68
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-16 00:00:00	129456
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-13 00:00:00	69885
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-14 00:00:00	58630
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-05-23 00:00:00	116997.01
AECOM Infrastructure & Environment UK Ltd	General Civils	2019-05-23 00:00:00	204710.37
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-17 00:00:00	208115.18
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-13 00:00:00	125283.22
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-13 00:00:00	211915.38
AECOM Infrastructure & Environment UK Ltd	Track	2019-05-17 00:00:00	107692
AECOM Ltd	Professional Services Direct	2019-05-25 00:00:00	695763.06
AECOM Ltd	General Civils	2019-05-25 00:00:00	37628.76
AECOM Ltd	Professional Services Direct	2019-05-22 00:00:00	338975.92
AECOM Ltd	Professional Services Direct	2019-05-25 00:00:00	33000
AECOM Ltd	Professional Services Direct	2019-05-22 00:00:00	55144.35
AECOM Ltd	Professional Services Direct	2019-05-22 00:00:00	38311.91
AEG Power Solutions Ltd	Electrification and Fixed Plant	2019-05-25 00:00:00	79989.68
AEG Power Solutions Ltd	Plant and Tools	2019-05-25 00:00:00	77140
AM1 Projects Ltd	Electrification and Fixed Plant	2019-05-25 00:00:00	64732.3
AM1 Projects Ltd	Electrification and Fixed Plant	2019-05-25 00:00:00	40051.97
AM1 Projects Ltd	Electrification and Fixed Plant	2019-05-25 00:00:00	61587.97
AMT-Sybex Ltd	Information Technology	2019-05-25 00:00:00	345000
